NAME,population,median_household_income,state,county,tract
Census Tract 4356.02; Alameda County; California,5506,88273,06,001,435602
Census Tract 4357; Alameda County; California,4913,100610,06,001,435700
Census Tract 4358; Alameda County; California,5802,106860,06,001,435800
Census Tract 4359; Alameda County; California,5138,117841,06,001,435900
Census Tract 4360; Alameda County; California,4932,116087,06,001,436000
Census Tract 4361; Alameda County; California,5991,119706,06,001,436100
Census Tract 4362; Alameda County; California,4060,78125,06,001,436200
Census Tract 4363.01; Alameda County; California,5275,192837,06,001,436301
Census Tract 4363.02; Alameda County; California,3766,94112,06,001,436302
Census Tract 4364.02; Alameda County; California,2754,173882,06,001,436402
Census Tract 4364.03; Alameda County; California,4403,103750,06,001,436403
Census Tract 4364.04; Alameda County; California,3216,153333,06,001,436404
Census Tract 4365; Alameda County; California,5010,86952,06,001,436500
Census Tract 4366.01; Alameda County; California,6554,80095,06,001,436601
Census Tract 4366.02; Alameda County; California,5250,103178,06,001,436602
Census Tract 4367; Alameda County; California,3533,123705,06,001,436700
Census Tract 4368; Alameda County; California,4244,108867,06,001,436800
Census Tract 4369; Alameda County; California,6766,107545,06,001,436900
Census Tract 4370; Alameda County; California,3617,109583,06,001,437000
Census Tract 4371.01; Alameda County; California,7458,162303,06,001,437101
Census Tract 4371.02; Alameda County; California,4018,81914,06,001,437102
Census Tract 4372; Alameda County; California,8975,105606,06,001,437200
Census Tract 4373; Alameda County; California,3031,62201,06,001,437300
Census Tract 4374; Alameda County; California,3609,100096,06,001,437400
Census Tract 4375; Alameda County; California,4663,96250,06,001,437500
Census Tract 4376; Alameda County; California,3385,107188,06,001,437600
Census Tract 4377.01; Alameda County; California,3729,72159,06,001,437701
Census Tract 4377.02; Alameda County; California,4027,100268,06,001,437702
Census Tract 4378; Alameda County; California,5107,150980,06,001,437800
Census Tract 4379; Alameda County; California,2283,93490,06,001,437900
Census Tract 4380; Alameda County; California,3676,137418,06,001,438000
Census Tract 4381; Alameda County; California,7541,154208,06,001,438100
Census Tract 4382.01; Alameda County; California,4671,107500,06,001,438201
Census Tract 4382.03; Alameda County; California,4073,129113,06,001,438203
Census Tract 4382.04; Alameda County; California,5745,100000,06,001,438204
Census Tract 4383; Alameda County; California,3849,142500,06,001,438300
Census Tract 4384; Alameda County; California,2741,107171,06,001,438400
Census Tract 4401; Alameda County; California,2423,104861,06,001,440100
Census Tract 4402; Alameda County; California,5368,125129,06,001,440200
Census Tract 4403.01; Alameda County; California,6812,123102,06,001,440301
Census Tract 4403.04; Alameda County; California,4391,142675,06,001,440304
Census Tract 4403.05; Alameda County; California,4021,159583,06,001,440305
Census Tract 4403.06; Alameda County; California,3706,112723,06,001,440306
Census Tract 4403.07; Alameda County; California,4449,102500,06,001,440307
Census Tract 4403.08; Alameda County; California,6303,113750,06,001,440308
Census Tract 4403.31; Alameda County; California,3373,132500,06,001,440331
Census Tract 4403.32; Alameda County; California,3102,180234,06,001,440332
Census Tract 4403.33; Alameda County; California,2516,127708,06,001,440333
